tank_id,species,avg_daily_temp,num_fish,day_length,tank_volume,num_sick,size_day_30,density
388,tilapia,24.2712251525129,93,10,399.454416952633,3,2789.18137481071,0.03225806451612903
425,tilapia,24.5901291496196,98,11,399.837578231131,4,2786.52988506588,0.04081632653061224
420,tilapia,22.9683745186346,103,9,399.450822325264,2,2791.97808427847,0.019417475728155338
819,trout,14.0645280057374,85,11,401.12288566145,12,150.865646173417,0.11764705882352941
176,tilapia,23.3395955019226,98,10,400.01435930689104,3,2785.27861254381,0.030612244897959183
926,trout,13.8,79,12,399.744465726852,8,154,0.0759493670886076
454,tilapia,23.8262819090694,104,10,399.931091280505,0,2781.12976699811,0
204,tilapia,24.0265009468057,99,10,398.989507931594,6,2780.20672454975,0.06060606060606061
851,trout,15.6562757634324,79,12,401.004259254191,15,152.702737461487,0.16455696202531644
515,tilapia,23.7882354976847,100,10,399.285493280529,7,2784.55831955641,0.07
996,trout,15.7363386790295,86,10,399.743891759719,17,149.938174601611,0.1744186046511628
715,tilapia,24.0467271520252,102,11,401.483269666681,5,2777.54664374161,0.049019607843137254
186,tilapia,24.3520806905395,100,10,401.57020346624,0,2780.70669464258,0
678,tilapia,23.8022179755021,102,10,400.028021879009,4,2778.85427231878,0.0392156862745098
776,trout,15.1999323316343,69,11,399.57344818817904,11,148.636994664015,0.13043478260869565
766,trout,15.1193874663199,79,12,399.96593686649,11,149.499270737097,0.11392405063291139
964,trout,14.9337938675402,74,11,400.275117611875,10,151.808698803547,0.10810810810810811
892,trout,15.1120851149759,87,10,400.384046652314,17,150.609139999337,0.1724137931034483
534,tilapia,23.3824000421765,98,8,399.449546543012,4,2784.00308587434,0.04081632653061224
793,trout,14.7111345797935,82,11,399.716356434193,14,150.071812775503,0.14634146341463414
751,trout,14.8425305053541,75,11,400.47152711948,18,152.858664325794,0.21333333333333335
615,tilapia,23.7564429417007,103,10,400.073308580614,3,2784.82435247822,0.02912621359223301
317,tilapia,22.8513009895559,98,11,402.061963482953,4,2778.66806435268,0.04081632653061224
945,trout,14.6949793202414,66,14,398.41248630442,10,149.383139213952,0.12121212121212122
227,tilapia,23.1036228789566,109,12,400.144621396201,6,2790.85240912901,0.05504587155963303
944,trout,15.1888140247927,62,12,399.811970483946,13,156.327488383726,0.1774193548387097
233,tilapia,23.19692025004,100,10,400.46690114412,5,2781.39089200759,0.05
113,tilapia,23.1000706683298,97,11,400.112271784797,3,2786.75372153448,0.030927835051546393
844,trout,15.2626278642247,77,13,399.734275989956,14,146.697093726904,0.15584415584415584
973,trout,15.7140122531928,94,12,400.335309428759,14,149.745259489656,0.1276595744680851
920,trout,14.2742371991973,63,12,399.379537208081,11,150.762276842038,0.14285714285714285
382,tilapia,23.9243452330349,103,9,400.643923847699,3,2784.32502400845,0.02912621359223301
383,tilapia,24.4351987337161,100,10,400.61596491984494,4,2777.91079035104,0.04
224,tilapia,24.3774649537342,103,10,400.56261837841504,0,2786.5897037634,0
980,trout,13.8893099705121,79,11,400.17733825934,12,146.844909546099,0.12658227848101267
244,tilapia,22.9291364850189,102,10,398.455334024837,6,2773.52825838324,0.058823529411764705
816,trout,14.5447122042087,71,12,399.878260395494,13,151.641951267662,0.15492957746478872
67,tilapia,23.9726290395022,96,10,401.478339163685,1,2786.21581878705,0.010416666666666666
747,tilapia,23.3578023258169,104,10,399.67896330779297,4,2781.95624330505,0.038461538461538464
783,trout,14.8000165720383,73,13,401.978303476148,10,150.69991388039,0.1095890410958904
710,tilapia,24.3958023019485,100,9,399.811656719429,1,2787.29277030973,0.01
547,tilapia,23.3351489672318,98,10,400.525239509459,5,2788.73343623217,0.05102040816326531
909,trout,14.3139021925586,76,13,400.683839750471,12,149.127555495102,0.13157894736842105
191,tilapia,22.9314048985264,102,10,400.896187238974,4,2789.55252788516,0.0392156862745098
252,tilapia,23.5628550849159,103,10,399.500397785847,7,2783.31773732588,0.06796116504854369
593,tilapia,23.7452191546067,102,10,401.619244789286,5,2781.5095223946,0.049019607843137254
480,tilapia,24.2291034528968,100,9,399.533964981092,4,2789.94694070806,0.04
536,tilapia,23.8516170432863,100,10,399.176063949458,0,2793.00933594889,0
566,tilapia,23.8184119559402,101,10,399.6061883996,2,2784.19189866047,0.019801980198019802
696,tilapia,24.0485489329341,101,12,400.67973733967,0,2778.24609990856,0
